 0.110101, acc 0.97
2017-06-30T15:05:19.019496: step 33492, loss 0.0339131, acc 0.98
2017-06-30T15:05:20.352235: step 33493, loss 0.070179, acc 0.98
2017-06-30T15:05:21.719285: step 33494, loss 0, acc 1
2017-06-30T15:05:23.084538: step 33495, loss 0.0531027, acc 0.99
2017-06-30T15:05:24.439457: step 33496, loss 0, acc 1
2017-06-30T15:05:25.777906: step 33497, loss 0, acc 1
2017-06-30T15:05:27.128588: step 33498, loss 0.000455547, acc 0.99
2017-06-30T15:05:28.493209: step 33499, loss 0, acc 1
2017-06-30T15:05:29.835037: step 33500, loss 0.0593433, acc 0.99
2017-06-30T15:05:31.174267: step 33501, loss 0.166623, acc 0.98
2017-06-30T15:05:32.521789: step 33502, loss 0.00608819, acc 0.99
2017-06-30T15:05:33.868631: step 33503, loss 0, acc 1
2017-06-30T15:05:35.217084: step 33504, loss 0.110578, acc 0.98
2017-06-30T15:05:36.587059: step 33505, loss 0.0316775, acc 0.98
2017-06-30T15:05:37.954802: step 33506, loss 0, acc 1
2017-06-30T15:05:39.305256: step 33507, loss 0.0113339, acc 0.99
2017-06-30T15:05:40.663648: step 33508, loss 0.0573992, acc 0.98
2017-06-30T15:05:42.021191: step 33509, loss 0, acc 1
2017-06-30T15:05:43.355825: step 33510, loss 0.0319341, acc 0.99
2017-06-30T15:05:44.706086: step 33511, loss 0.0809022, acc 0.98
2017-06-30T15:05:46.059705: step 33512, loss 0, acc 1
2017-06-30T15:05:47.404939: step 33513, loss 0, acc 1
2017-06-30T15:05:48.750646: step 33514, loss 0, acc 1
2017-06-30T15:05:50.110266: step 33515, loss 0.0399659, acc 0.99
2017-06-30T15:05:51.453043: step 33516, loss 0, acc 1
2017-06-30T15:05:52.815155: step 33517, loss 0, acc 1
2017-06-30T15:05:54.162348: step 33518, loss 0.0103918, acc 0.99
2017-06-30T15:05:55.516145: step 33519, loss 0, acc 1
2017-06-30T15:05:56.867200: step 33520, loss 0.0163669, acc 0.99
2017-06-30T15:05:58.232793: step 33521, loss 0.0469555, acc 0.99
2017-06-30T15:05:59.590461: step 33522, loss 0.0792441, acc 0.99
2017-06-30T15:06:00.946056: step 33523, loss 0.000622112, acc 0.99
2017-06-30T15:06:02.295310: step 33524, loss 0.0446518, acc 0.98
2017-06-30T15:06:03.665125: step 33525, loss 0.00134294, acc 0.99
2017-06-30T15:06:05.011077: step 33526, loss 0, acc 1
2017-06-30T15:06:06.354715: step 33527, loss 0, acc 1
